id,name,locality,city,cuisines,establishment,average_cost_for_two,all_reviews_count,photo_count,has_table_booking,has_online_delivery,aggregate_rating,votes,timings
8204019,Volver de Carne Y Alma,Lumiar,Lisboa,"Argentine, Grill, Steak, Fusion, Author, Latin American",Fine Dining,80,877,2580,1,0,4.9,2061,"12:30 PM a 3:30 PM, 7:30 PM a 12 Midnight, 12 Midnight a 12:30 AM (Seg-Qua), 12:30 PM a 3 PM, 7:30 PM a 12 Midnight, 12 Midnight a 12:30 AM (Qui), 12:30 PM a 3 PM, 8 PM a 12 Midnight, 12 Midnight a 1 AM (Sex), 8 PM a 12 Midnight, 12 Midnight a 1 AM ("
8201919,Guilty by Olivier,Avenida da Liberdade,Lisboa,"Italian, Pizza, Burger, Beverages",Fine Dining,60,586,1125,0,0,4.2,1490,"12:30 a 15:30, 19:30 a 01:00 (Seg-Qua),12:30 a 15:30, 19:30 a 03:00 (Qui-Sex),12:30 a 16:00, 19:30 a 03:00 (Sáb),12:30 a 16:00, 19:30 a 01:00 (Dom)"
18332964,Olá Nepal,Marquês de Pombal,Lisboa,"Nepalese, Indian",Casual Dining,20,348,242,1,0,4.4,683,"11 AM to 3 PM, 6:30 PM to 11 PM"
8212800,Popolo - Pizza & Burger,Santos,Lisboa,"Burger, Pizza, Beverages",Casual Dining,25,1419,2385,0,0,4.0,2989,"12:00 a 24:00 (Seg, Ter, Qua, Qui, Dom), 12:00 a 01:00 (Sex-Sáb)"
8209554,Suntory,Campolide,Lisboa,"Japanese, Sushi",Fine Dining,60,503,1228,0,0,4.5,1217,"12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Thu, Sun), 12 Noon to 3:30 PM, 7 PM to 11:30 PM (Fri-Sat)"
18250873,Cartel 36,Parque das Nações,Lisboa,"Contemporary, Steak",Casual Dining,40,346,947,0,0,4.5,730,"Fechado (Seg),12:30 a 15:30, 19:30 a 24:00 (Ter-Dom)"
8208899,Maria Azeitona,Venteira,Lisboa,"Portuguese, Petiscos",Casual Dining,25,1026,1787,0,0,4.7,2264,"12 Noon to 4 PM, 7 PM to 12 Midnight"
18319604,Pop Cereal Café,Bairro Alto,Lisboa,"Desserts, Cafe, Finger Food, Tea, Beverages",Dessert Parlour,8,554,1099,0,0,4.7,1075,9 AM a 12 Midnight
18545601,SUD Lisboa,Belém,Lisboa,"Mediterranean, Italian, Portuguese, Finger Food, Cafe, Beverages",Lounge,80,570,976,0,0,4.5,1384,12:00 to 02:00 (Mon-Sun)
18293899,Beija-me Burro,Oeiras e São Julião da Barra,Lisboa,"Tapas, Petiscos",Casual Dining,40,383,899,1,0,4.4,771,"12:00 a 15:30, 19:30 a 24:00 (Seg, Qua, Qui, Sex, Sáb, Dom), Fechado (Ter)"
8214657,Zero Zero - Príncipe Real,Príncipe Real,Lisboa,"Pizza, Italian",Casual Dining,50,1109,2040,0,0,4.5,2396,12:00 a 24:00 (Seg-Dom)
8211443,Taberna A Preciosa - Petiscos,Lumiar,Lisboa,"Petiscos, Tapas, Portuguese",Casual Dining,40,493,946,0,0,4.2,939,"12 Noon a 11 PM (Ter-Sáb), Seg & Dom Fechado"
18250890,Sushi dos Sá Morais,Marquês de Pombal,Lisboa,"Sushi, Japanese",Casual Dining,40,382,950,1,0,4.3,871,"Seg-Dom (12 Noon to 3 PM, 8 PM to 11 PM)"
8210596,Ciao Cuore,Massamá,Lisboa,"Italian, Pizza, Sushi",Casual Dining,30,342,547,0,0,4.5,955,"7 PM to 10:30 PM (Tue), 12 Noon to 3 PM, 7 PM to 10:30 PM (Wed-Sun), Mon Closed"
8212807,Sushisan,Saldanha,Lisboa,"Japanese, Sushi",Casual Dining,45,750,1235,0,0,4.1,1709,"12 Noon a 3 PM, 8 PM a 11 PM (Seg-Sáb), Dom Fechado"
16688193,Browns Bar & Brasserie,Windsor and Maidenhead,South East England,Others,,0,6,40,1,0,3.7,9,
16686584,Jamie's Italian Guildford,Guildford,South East England,Italian,Casual Dining,20,58,13,0,0,3.7,77,
16686436,Sportsman,Canterbury,South East England,British,,20,38,27,0,0,4.8,72,"Closed (Mon),12 Noon to 2 PM, 7 PM to 9 PM (Tue-Sat),12 Noon to 2:30 PM (Sun)"
16686337,Wagamama,Reading,South East England,Asian,,12,5,10,0,0,4.5,62,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686446,Nando's,Reading,South East England,Portuguese,,5,6,8,0,0,4.5,38,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686486,Waterside Inn,Windsor and Maidenhead,South East England,French,,0,31,29,0,0,4.7,57,"12 Midnight to 12:30 AM (Mon),Closed (Tue),8 AM to 12 Midnight (Wed),8 AM to 12:30 AM (Thu-Sun)"
16686324,Le Manoir Aux Quat Saisons,South Oxfordshire,South East England,French,,0,22,32,0,0,4.7,47,"7:30 AM to 10 AM, 11:45 AM to 2:15 PM, 6:45 PM to 9:30 PM (Mon-Sun)"
16687044,Terre à Terre,Brighton,South East England,,,12,9,19,1,0,4.3,27,12 Noon to 10:30 PM (Mon-Sun)
16686768,The Grand Cafe,Oxford,South East England,"Breakfast, Coffee and Tea, Sandwich",,12,5,7,0,0,4.1,13,"Breakfast, Lunch (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686457,Nando's,Reading,South East England,Portuguese,,5,3,3,0,0,4.3,23,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686647,Jamie's Italian,Oxford,South East England,Italian,Casual Dining,30,15,19,0,0,4.5,42,
16686466,Jamie's Italian,Brighton,South East England,Italian,Casual Dining,30,13,15,0,0,4.4,45,
16686421,Wagamama,Guildford,South East England,Asian,Noodle Shop,12,6,9,0,0,4.3,22,
16686592,Latymer,Surrey Heath,South East England,"European, French",,0,13,40,0,0,4.4,18,"(Sun, Mon), Lunch, Dinner (Tue-Fri),Dinner (Sat)"
16687679,Jamie's Italian,Airport: Gatwick: LGW,South East England,Italian,Casual Dining,20,12,30,0,0,4.1,19,
16686234,Food for Friends,Brighton,South East England,,,12,12,12,0,0,4.3,33,
16687106,Turf Tavern,Oxford,South East England,"Bar Food, British",,5,13,13,0,0,4.6,29,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686280,St George & Dragon,Reading,South East England,"International, Bar Food, Fusion",,20,14,12,0,0,4.0,32,
17842636,Taj Mahal Restaurant - Southampton,Southampton,South East England,"Bangladeshi, North Indian, Indian, Curry",Casual Dining,35,0,0,1,0,0,1,"5:30 PM to 10:30 PM (Mon-Thu), 5 PM to 11 PM (Fri-Sat), 5 PM to 10:30 PM (Sun)"
16686830,Gee's restaurant,Oxford,South East England,Others,,0,8,36,0,0,4.1,13,"10 AM to 10:30 PM (Mon, Tue, Wed, Thu, Sun), 9:45 AM to 11 PM (Fri-Sat)"
16686181,Thai Terrace,Guildford,South East England,Thai,,20,9,5,0,0,4.6,44,
16686363,Tacos Locos,Canterbury,South East England,"Mexican, Tex-Mex",,12,18,7,0,0,4.0,30,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686743,Pho,Brighton,South East England,"Asian, Vietnamese",Casual Dining,5,11,13,0,0,4.3,29,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686553,McDonald's,Dover,South East England,"American, Burger",,5,0,0,0,0,2.6,2,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16688020,64 Degrees,Brighton,South East England,"European, British",,0,9,26,0,0,4.4,18,"(Sun),Lunch, Dinner (Mon-Sat)"
16686251,Royal Oak,Windsor and Maidenhead,South East England,"European, British",,20,12,21,0,0,4.4,21,"12 Noon to 2:30 PM, 6:30 PM to 9:30 PM (Mon-Thu),12 Noon to 2:30 PM, 6:30 PM to 10 PM (Fri-Sat),12 Noon to 3:30 PM (Sun)"
16686873,Atomic Burger,Oxford,South East England,"American, Burger",,12,9,13,0,0,4.3,30,"10 AM to 2:30 PM, 5 PM to 10:30 PM (Mon-Fri),10 AM to 10:30 PM (Sat-Sun)"
16686795,Ascot Grill,Windsor and Maidenhead,South East England,"Burger, Steak",,20,14,4,0,0,4.2,33,"(Sun),Lunch, Dinner (Mon-Sat)"
18767894,The Little Fish Shop,Dover,South East England,Fish and Chips,Casual Dining,15,0,0,1,0,0,1,"12 Noon to 9 PM (Mon-Sat), 12 Noon to 8:30 PM (Sun)"
16686546,KFC,Dover,South East England,American,,5,0,0,0,0,0,1,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686329,L'Ortolan,Reading,South East England,"European, French, British",,0,5,18,0,0,4.3,29,"(Sun, Mon), Lunch, Dinner (Tue-Sat)"
16687028,The Crown at Bray,Windsor and Maidenhead,South East England,"Bar Food, British",Wine Bar,12,14,12,0,0,4.5,21,"11:30 AM to 11 PM (Mon-Sat),12 Noon to 8 PM (Sun)"
16686734,The Chilli Pickle,Brighton,South East England,Indian,,12,9,3,0,0,4.4,31,"12 Noon to 3 PM, 6 PM to 10:30 PM (Mon-Sat),12 Noon to 3 PM, 6 PM to 10 PM (Sun)"
16686365,London Street Brasserie,Reading,South East England,"French, Mediterranean, British",,20,4,2,0,0,4.4,35,"12 Noon to 10:30 PM (Mon, Tue, Wed, Thu, Sun), 12 Noon to 11 PM (Fri-Sat)"
16686643,The Carpenters,Windsor and Maidenhead,South East England,French,,20,15,3,0,0,4.3,20,"Lunch (Sun),Lunch, Dinner (Mon-Sat)"
16686184,Bluebells Restaurant & Bar,Windsor and Maidenhead,South East England,European,,0,4,7,0,0,4.1,27,
16687786,The Vaults & Garden Cafe,Oxford,South East England,"Breakfast, Mediterranean",,0,8,14,0,0,4.1,13,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686635,Kebab Elite,Windsor and Maidenhead,South East England,"Turkish, British",Quick Bites,5,8,0,0,0,4.4,11,"12 Noon to 12 Midnight (Mon-Fri), 12 Noon to 2:30 AM (Sat-Sun)"
16688032,Turtle Bay,Southampton,South East England,Caribbean,,12,5,21,0,0,3.6,7,
17842663,Silo,Brighton,South East England,"Coffee and Tea, British",Bakery,12,6,20,0,0,3.8,9,"9 AM to 5 PM (Mon-Wed),9 AM to 8:30 PM (Thu-Sat),10 AM to 5 PM (Sun)"
16686726,Moo Moo's Milkshakes,Oxford,South East England,Beverages,,5,9,5,0,0,4.5,21,"Breakfast, Lunch (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16687220,Eagle and Child,Oxford,South East England,Bar Food,,5,8,8,0,0,4.2,19,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri), Lunch, Dinner, Late (Sat)"
16686673,Wagamama,Oxford,South East England,"Asian, Japanese",,12,7,16,0,0,4.1,11,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16686877,Bill's Restaurant,Reading,South East England,"Breakfast, British",,12,7,7,0,0,4.4,18,"8 AM to 10:30 AM (Mon-Sat),9 AM to 10 PM (Sun)"
16686110,Royal China,Reigate and Banstead,South East England,Chinese,,0,2,0,0,0,3.9,4,
16686492,Cafe des Amis,Canterbury,South East England,Mexican,,20,8,6,0,0,4.3,20,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16688253,Ben's Cookies,Oxford,South East England,Desserts,,5,9,5,0,0,4.3,19,
16686226,Drake's,Guildford,South East England,European,,0,5,17,0,0,4.2,11,"Closed (Mon, Sun), 7 PM to 9:15 PM (Tue),12 Noon to 2 PM, 7 PM to 9:15 PM (Wed-Sat)"
16687222,Suwanna Thai,West Oxfordshire,South East England,Thai,,20,1,0,0,0,0,3,
16686816,Casa Don Carlos,Brighton,South East England,"Spanish, Tapas",,12,6,8,0,0,4.3,15,"(Sun),Lunch, Dinner (Mon-Thu),Lunch, Dinner, Late (Fri-Sat)"
16686649,Browns - Restaurant & Bar,Oxford,South East England,"Breakfast, Desserts",,12,7,5,1,0,3.8,16,"Lunch, Dinner (Sun),Breakfast, Lunch, Dinner (Mon-Sat)"
16687543,Seasons Restaurant at Baylis House,Slough,South East England,Indian,,0,0,7,0,0,0,3,
16686648,4500 Miles From Delhi – Oxford,Oxford,South East England,Indian,,12,8,3,1,0,4.2,16,"12 Noon to 2:30 PM, 5:30 PM to 11 PM (Mon-Thu), 12 Noon to 2:30 PM, 5:30 PM to 11:30 PM (Fri-Sat), 12 Noon to 2:30 PM, 5 PM to 10:30 PM (Sun)"
16686664,Riddle and Finns,Brighton,South East England,"Breakfast, Seafood, Fish and Chips",,12,4,7,0,0,4.1,15,"Breakfast, Lunch, Dinner (Sun),Lunch, Dinner (Mon-Thu),Lunch, Dinner, Late (Fri),Breakfast, Lunch, Dinner, Late (Sat)"
16687296,The Pig,New Forest,South East England,"Seafood, British",,0,8,9,0,0,3.7,13,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16687055,Restaurant Coworth Park,Windsor and Maidenhead,South East England,British,,0,5,16,1,0,3.9,9,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16688322,Casamia,Bristol,South West England,British,,0,18,128,0,0,4.5,26,"Closed (Mon, Sun), 12 Noon to 2 PM, 6 PM to 9:30 PM (Tue-Sat)"
16688377,Za Za Bazaar,Bristol,South West England,"American, Asian, Mexican",,12,24,101,0,0,4.6,47,"12 Noon to 11 PM (Mon-Fri),11 AM to 11 PM (Sat-Sun)"
16688509,Loch Fyne,Bristol,South West England,Seafood,,20,4,78,0,0,3.6,10,"12 Noon to 10 PM (Mon-Thu),12 Noon to 10:30 PM (Fri-Sat),12 Noon to 9:30 PM (Sun)"
16688361,The Ethicurean,Bristol,South West England,British,,20,8,59,0,0,4.2,11,"Closed (Mon),10 AM to 4 PM (Tue-Thu),10 AM to 11 PM (Fri-Sat),10 AM to 5 PM (Sun)"
16688267,Le Champignon Sauvage,Cheltenham,South West England,French,,0,15,32,0,0,4.4,30,"Closed (Mon, Sun), 12:30 PM to 1:15 PM, 7:30 PM to 8:30 PM (Tue-Sat)"
16688944,Glassboat,Bristol,South West England,"European, French, British",,20,2,67,0,0,3.4,4,"8 AM to 10 PM (Mon-Sat),8 AM to 4 PM (Sun)"
16688508,San Carlo - Bristol,Bristol,South West England,Others,,0,5,64,0,0,4.1,8,
16688869,The Stable,Bristol,South West England,"Italian, Pizza",,12,4,57,0,0,3.8,9,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16688321,Pieminister,Bristol,South West England,British,,5,9,12,0,0,4.3,23,"10 AM to 11 PM (Mon-Sat),11 AM to 11 PM (Sun)"
16688408,Elephant,Torquay,South West England,Others,,0,9,18,0,0,4.2,16,"Closed (Mon, Sun), 6:30 AM to 9 PM (Tue-Sat)"
16688785,Las Iguanas - Cribbs Causeway,Bristol,South West England,"Latin American, New Mexican, Bar Food",,12,2,29,0,0,3.3,4,"12 Noon to 11 PM (Mon-Sat),12 Noon to 10:30 PM (Sun)"
16688407,Fifteen Cornwall,Newquay,South West England,Italian,,0,5,18,0,0,3.6,9,"8:30 AM to 10 AM, 12 Noon to 2:30 PM, 6:15 PM to 9:15 PM (Mon-Sun)"
16688400,Pony and Trap,Bristol,South West England,British,,20,5,16,0,0,4.1,13,"Closed (Mon),12 Noon to 2:30 PM, 7 PM to 9:30 PM (Tue-Sat),12 Noon to 3:30 PM, 7 PM to 9:30 PM (Sun)"
18408879,Beachside Grill,North Devon,South West England,"American, Grill",Casual Dining,70,3,33,0,0,3.4,5,9 AM to 11 PM (Mon-Sun)
16688618,Dosa World,Bournemouth,South West England,Indian,,5,5,6,0,0,4.0,10,"Lunch, Dinner (Sun, Mon, Tue, Wed, Thu, Fri, Sat)"
16688454,Sotto Sotto,Bath,South West England,Italian,,20,5,13,0,0,4.4,12,"12 Noon to 2:30 PM, 5 PM to 10:30 PM (Mon-Sun)"
16688440,Restaurant Nathan Outlaw,Padstow,South West England,"Seafood, British",,0,8,17,0,0,3.8,9,"Closed (Mon, Sun), 7 PM to 9 PM (Tue-Sat)"
16688263,Lumiere,Cheltenham,South West England,British,,0,6,8,0,0,4.3,18,"(Sun, Mon), Dinner (Tue),Lunch, Dinner (Wed-Sat)"
16688448,Nando's,Bristol,South West England,Others,,0,6,14,0,0,4.2,10,
16688398,Real Italian Pizza Company,Bath,South West England,"Italian, Pizza",,12,7,11,0,0,4.1,9,
16688734,"Graze, Bar, Brewery and Chophouse",Bath,South West England,"Breakfast, Steak, British",,20,4,15,0,0,3.6,5,"Breakfast, Lunch, Dinner (Sun, Mon, Tue, Wed, Thu), Breakfast, Lunch, Dinner, Late (Fri-Sat)"
16688428,Paul Ainsworth at Number 6 Restaurant,Padstow,South West England,British,,0,6,2,0,0,4.3,13,"Closed (Mon, Sun), 12 Noon to 2:30 PM, 6 PM to 10 PM (Tue-Sat)"
16688415,Bill's Restaurant,Exeter,South West England,"Breakfast, European, British",,12,5,6,0,0,3.9,10,"8 AM to 11 PM (Mon-Sat),9 AM to 10:30 PM (Sun)"
16688807,La Fregate,Guernsey,South West England,Seafood,,0,3,13,0,0,3.7,4,
16688747,Las Iguanas Exeter,Exeter,South West England,"Latin American, Mexican",Casual Dining,12,3,11,1,0,3.5,6,"10 AM to 11 PM (Mon-Wed), 10 AM to 12 Midnight (Thu-Sat), 10 AM to 10:30 PM (Sun)"
16688431,Eastern Eye,Bath,South West England,Indian,,20,5,3,0,0,4.0,12,"12 Noon to 2:30 PM, 6 PM to 11:30 PM (Mon-Fri),12 Noon to 11:30 PM (Sat-Sun)"
17842703,The Wild Rabbit,Cotswold,South West England,British,Pub,12,3,12,0,0,3.8,5,
16688348,The Butchers Arms,Tewkesbury,South West England,British,,0,1,17,0,0,3.5,1,"Closed (Mon),7 PM to 9 PM (Tue-Thu),12 Noon to 1 PM, 7 PM to 9 PM (Fri-Sat),12 Noon to 1 PM (Sun)"
16688347,The Kingham Plough,Cotswold,South West England,British,,0,6,3,0,0,2.4,9,"12 Noon to 9 PM (Mon-Thu),12 Noon to 9:30 PM (Fri-Sat),12 Noon to 3 PM, 6 PM to 8 PM (Sun)"
19108293,BLACK PEARL CAFE & LOUNGE,Basti Locality,Basti,North Indian,,250,0,6,0,0,0,0,11:30 AM to 10:30 PM
19076933,Noélia,Cabanas de Tavira,Algarve,Portuguese,Casual Dining,45,12,42,0,0,4.3,29,"12 Noon to 3:30 PM, 7 PM to 10:30 PM"
19095832,Noor Banglore Bakery And Pizza Corner,Jagtial Locality,Jagtial,"Bakery, Burger, Pizza",Bakery,300,0,1,0,1,3.7,5,11 AM to 11 PM
19095536,Halfway Home,Gokarna Locality,Gokarna,"South Indian, North Indian",Casual Dining,300,0,8,0,0,0,0,9 AM to 9 PM
19086528,STONE ICE,Siddipet Locality,Siddipet,"Burger, Ice Cream, Pizza",Bakery,350,1,4,0,1,3.4,7,(Mon-Sun)
19109807,Every day pizza,Sitapur Locality,Sitapur,,Quick Bites,200,0,0,0,0,0,0,11 AM to 11 PM
19088872,Khana Khajana sweets & snacks home,Samastipur Locality,Samastipur,"North Indian, Chinese",Fine Dining,300,1,2,0,1,3.7,12,10 AM to 10 PM
